Facility ID,Facility Name,Facility Group,Facility Type,Address,Latitude,Longitude,Geometry
C-C-001,Rose Hill Cemetery,Cemeteries,Cemetery,"1100 W 4Th Street, Bloomington, IN",39.165708,-86.545797,POINT (-86.545797 39.165708)
C-C-002,White Oak Cemetery,Cemeteries,Cemetery,"1200 W 7Th Street, Bloomington, IN",39.169052,-86.548152,POINT (-86.548152 39.169052)
DC-A-001,Big Woods Bloomington,Dining & Cafes,American,"116 N Grant Street, Bloomington, IN",39.16713145,-86.52958997532201,POINT (-86.52958997532201 39.16713145)
DC-A-002,Half Bottle Bistro,Dining & Cafes,American,"3115 S Sare Road, Bloomington, IN",39.13318445,-86.49778373505043,POINT (-86.49778373505043 39.13318445)
DC-A-003,Hive,Dining & Cafes,American,"2608 E 10Th Street, Bloomington, IN",39.1707541,-86.5011251,POINT (-86.5011251 39.1707541)
DC-A-004,FARMbloomington,Dining & Cafes,American,"108 E Kirkwood Avenue, Bloomington, IN",39.1664992,-86.5333739,POINT (-86.5333739 39.1664992)
DC-A-005,Feast Market & Cellar,Dining & Cafes,American,"407 W Patterson Drive, Bloomington, IN",39.1582106,-86.5458853,POINT (-86.5458853 39.1582106)
DC-A-006,Runcible Spoon,Dining & Cafes,American,"412 E 6Th Street, Bloomington, IN",39.167452,-86.5294867,POINT (-86.5294867 39.167452)
DC-A-007,SmokeWorks Bloomington,Dining & Cafes,American,"121 N College Avenue, Bloomington, IN",39.1673149,-86.5352501161498,POINT (-86.5352501161498 39.1673149)
DC-A-008,Uptown Cafe,Dining & Cafes,American,"102 E Kirkwood Avenue, Bloomington, IN",39.1664998,-86.5334317,POINT (-86.5334317 39.1664998)
DC-A-009,The Elm Restaurant,Dining & Cafes,American,"614 E 2Nd Street, Bloomington, IN",39.1611533,-86.5263702,POINT (-86.5263702 39.1611533)
DC-A-010,Crazy Horse,Dining & Cafes,American,"214 W Kirkwood Avenue, Bloomington, IN",39.16688485,-86.53570447663886,POINT (-86.53570447663886 39.16688485)
DC-A-011,Cafe Bali,Dining & Cafes,Asian,"210 S Grant Street, Bloomington, IN",39.165161600000005,-86.5300562,POINT (-86.5300562 39.165161600000005)
DC-A-012,Fat Dan's Deli,Dining & Cafes,American,"221 E Kirkwood Avenue Ste 1, Bloomington, IN",39.1669058,-86.5312914,POINT (-86.5312914 39.1669058)
DC-A-013,BuffaLouie's at The Gables,Dining & Cafes,American,"114 S Indiana Avenue, Bloomington, IN",39.1659572,-86.52713420018262,POINT (-86.52713420018262 39.1659572)
DC-A-014,Malibu Grill,Dining & Cafes,American,"106 N Walnut Street, Bloomington, IN",39.166861,-86.5332152,POINT (-86.5332152 39.166861)
DC-A-015,Nick's English Hut,Dining & Cafes,American,"423 E Kirkwood Avenue, Bloomington, IN",39.1668531,-86.52874212500001,POINT (-86.52874212500001 39.1668531)
DC-A-016,Cheddar's Scratch Kitchen,Dining & Cafes,American,"126 S Franklin Road, Bloomington, IN",39.1660289,-86.5714171,POINT (-86.5714171 39.1660289)
DC-A-017,Samira Restaurant,Dining & Cafes,Afghani,"100 W 6Th Street, Bloomington, IN",39.16533,-86.52639,POINT (-86.52639 39.16533)
DC-A-018,BJ's Restaurant & Brewhouse,Dining & Cafes,American,"411 S College Mall Road, Bloomington, IN",39.1627457,-86.49758205531376,POINT (-86.49758205531376 39.1627457)
DC-A-019,The Tudor Room,Dining & Cafes,American,"900 E 7Th Street, Bloomington, IN",39.1674605,-86.5229386,POINT (-86.5229386 39.1674605)
DC-B-001,Lennie's Brewpub,Dining & Cafes,Brewpub,"514 E Kirkwood Avenue, Bloomington, IN",39.1663999,-86.5274963,POINT (-86.5274963 39.1663999)
DC-B-002,Upland Brewing Co.,Dining & Cafes,Brewpub,"350 W 11Th Street, Bloomington, IN",39.1734338,-86.5374034,POINT (-86.5374034 39.1734338)
DC-B-003,Smokin' Jack's Rib Shack,Dining & Cafes,Barbecue,"505 W 17Th Street, Bloomington, IN",39.1786817,-86.5386954,POINT (-86.5386954 39.1786817)
DC-B-004,Kimu Asian Restaurant,Dining & Cafes,Burmese,"413 E 4Th Street, Bloomington, IN",39.1657172,-86.5290888,POINT (-86.5290888 39.1657172)
DC-B-005,The Vault Pub,Dining & Cafes,Bar,"900 E 7Th Street, Bloomington, IN",39.1674605,-86.5229386,POINT (-86.5229386 39.1674605)
