Place ID,Facility,Facility Group,Type,Location,X Coordinate,Y Coordinate,Latitude,Longitude,Geometry
1561,Ferguson Dog Park,Parks,Dog Park,4300 N Stone Mill RD,3108927,1443195,39.209444,-86.532102,POINT (-86.532174816526 39.209402001487)
5069,Innovation Lab,City Offices,Government Offices,627 N Morton ST,3107860,1429780,39.17258219,-86.53622068,POINT (-86.536225864906 39.172589612604)
1795,Latimer Woods,Parks,Nature Park/Preserve,3200 E Buick Cadillac BLVD,3120156,1424789,39.158671,-86.492991,POINT (-86.492971346064 39.158675449588)
5044,Frank Southern Ice Arena Parking Lot,Parking Facility,Parking,N of Frank Southern Ice Arena,3110466,1419288,39.1437333,-86.5272573,POINT (-86.527261036202 39.143740768385)
95,Banneker Community Center,Parks,Community Center,930 W 7th ST,3105365,1428432,39.168922,-86.545049,POINT (-86.545054219197 39.168929719659)
3280,Rose Hill Cemetery Office,City Offices,Government Offices,930 W 4th ST,3105336,1427307,39.165834,-86.545175,POINT (-86.545180038442 39.165841549326)
2023,College Ave and Smith Ave Parking Lot,Parking Facility,Surface Parking Lot,S College AVE south of Convention Center,3108054,1426438,39.163404,-86.535608,POINT (-86.535612778089 39.1634110862)
4895,Upper Cascades Park Shelter,Parks,Park Shelter,"514 W Club House Dr, Bloomington, IN 47404",3106848,1440952,39.2032735,-86.5395537,POINT (-86.539558987243 39.203278460419)
268,Cascades Golf Course Clubhouse,Parks,Golf Course,3550 N Kinser PIKE,3106994,1440232,39.2012919,-86.539051,POINT (-86.539059060086 39.20129933764)
1255,Skate Park at Upper Cascades,Parks,Skate Park,2602 N Kinser PIKE,3107602,1436893,39.191876,-86.536883,POINT (-86.536984709071 39.192122262344)
1004,Olcott Park,Parks,Community Park,2300 E Canada DR,3115256,1412724,39.12563,-86.510514,POINT (-86.510519182231 39.125637777052)
1410,Twin Lakes Sports Park,Parks,Sports Park,2350 W Bloomfield RD,3099017,1422899,39.153833,-86.567549,POINT (-86.567554160974 39.153840286252)
1875,Schmaltz Farm Park Playground,Playground,Playground,3010 E Daniel ST,3120517,1416801,39.1367323,-86.4918759,POINT (-86.491881902186 39.136738385863)
1240,Showers City Hall,City Offices,Government Offices,401 N Morton ST,3107700,1428812,39.169927,-86.536806,POINT (-86.5368107722 39.169934660816)
1871,Park Ridge East Park Playground,Playground,Playground,4421 E Morningside DR,3125460,1427931,39.167198,-86.474188,POINT (-86.474193048431 39.167205333814)
1873,RCA Park Playground,Playground,Playground,1400 W RCA Park DR,3105167,1419723,39.145015,-86.545929,POINT (-86.545934474357 39.145022685874)
1818,Frank Southern Ice Arena,Parks,Skating Rink,2100 S Henderson ST,3110438,1418989,39.142669,-86.52737,POINT (-86.527366211977 39.142920345644)
5039,Griffy Lake Nature Preserve Parking Lot South,Parking Facility,Parking,"W side of Headley Road, South of Griffy Lake",3114684,1436813,39.191774,-86.5119953,POINT (-86.512000675685 39.191782785718)
186,Bloomington Fire Station 3,Public Safety,Fire Station,810 N Woodlawn AVE,3111579,1430258,39.1738,-86.523277,POINT (-86.523098161764 39.173839611729)
1828,Bloomington Fire Training Tower,Public Safety,Public Safety Training Facility,3190 S Walnut ST,3108867,1413414,39.127633,-86.533019,POINT (-86.533024119742 39.1276406408)
3277,Jackson Creek Trail,Parks,Multi-use Trail,Runs from Sherwood Oaks Park to Childs School,3115162,1415141,39.132268,-86.510792,POINT (-86.510796784189 39.132275187263)
1508,Winslow Woods Park,Parks,Community Park,2120 S Highland AVE,3113448,1418568,39.141619,-86.51806,POINT (-86.516763372816 39.141713404233)
2022,6th and Lincoln Parking Lot,Parking Facility,Surface Pay Lot,Across from the Monroe County Public Library,3109230,1427849,39.167258,-86.53143,POINT (-86.531435169603 39.167265356063)
4076,Bloomington Economic and Sustaintable Development,City Offices,Government Offices,401 N Morton ST STE 150,3107737,1428738,39.169723,-86.536677,POINT (-86.536681847273 39.169730885446)
187,Bloomington Fire Station 4,Public Safety,Fire Station,2201 E 3rd ST,3116301,1426885,39.164491,-86.506513,POINT (-86.506518591175 39.164497973535)
1176,Rose Hill Cemetery,Cemetery,Cemetery,1100 W 4th ST,3104852,1427296,39.165708,-86.545797,POINT (-86.546887227253 39.165819219525)
3278,Switchyard Park,Parks,Community Park,Along the B-Trail from Grimes LN to Country Club DR,3108245,1420733,39.147738,-86.535056,POINT (-86.53506075916 39.147745062896)
2903,Griffy Lake Wetland Trail End,Parks,Trailhead,Eastern edge of Griffy Lake shoreline,3115625,1438803,39.197222,-86.508631,POINT (-86.508636275923 39.19722986499)
204,Utility Service Center,City Offices,Government Offices,600 E Miller DR,3110840,1420213,39.146056,-86.526028,POINT (-86.525922408612 39.146274022404)
1864,Bryan Park Playground,Playground,Playground,1001 S Henderson ST,3110671,1423820,39.156172,-86.526435,POINT (-86.526440221008 39.156179741805)
1811,Bloomington Fire Station 5,Public Safety,Fire Station,1987 S Henderson ST,3110699,1419921,39.145416,-86.526502,POINT (-86.526425862255 39.145474723938)
1640,Upper Cascades Park,Parks,Community Park,514 W Club House DR,3106849,1440950,39.203276,-86.53948,POINT (-86.539555500944 39.203272953079)
3273,Bloomington Community Farmers Market,Parks,Farmers Market,Showers City Hall South Parking Lot,3107705,1428543,39.169189,-86.536794,POINT (-86.536798853686 39.169196050318)
1872,Park Ridge Park Playground,Playground,Playground,3421 E Longview AVE,3120815,1428174,39.1679516,-86.4905632,POINT (-86.490569465361 39.167956954965)
2901,Griffy Lake Lanam Trail East Trail Head,Parks,Trailhead,Near Lanam RD,3119216,1438340,39.195888,-86.495972,POINT (-86.495976676582 39.195895546837)
1867,Crestmont Park Playground,Playground,Playground,1209 W 15th ST,3104038,1431012,39.1760298,-86.5496757,POINT (-86.549680920311 39.176034530814)
2907,Griffy Lake North Shore Trail Dam Trail Head,Parks,Trailhead,Griffy Lake Dam off of N Dunn ST,3110310,1441914,39.205854,-86.527317,POINT (-86.527322020684 39.205861909515)
2883,Twin Lakes Trail Northern Trail Head,Parks,Trailhead,N of W Bloomfield Rd around Twin Lakes,3099355,1423362,39.155099,-86.566348,POINT (-86.56635300782 39.155106160846)
4584,Switchyard Park Community Gardens,Parks,Community Garden,"At Switchyard Park, Near the Hillside entrance",3107974,1421783,39.15062,-86.53599,POINT (-86.535993940387 39.150632291304)
2904,Griffy Lake Nature Trail Boathouse Trail Head,Parks,Trailhead,North of side of  the Griffly Lake Boathouse parking lot acr,3114330,1439307,39.198629,-86.513189,POINT (-86.513194271316 39.198636010807)
